ID,Aov Category,Aov Score,Assigned To,Connected Percentage Score,Converted Percentage Score,Created On,Customer ID,Eligible For Ranking,Final Score,Is Active,Is Ftc,Is Live,Is Order Confimed,Is Order Confirmed By User,Is Substitable,Order ID,Order Value,Orderstatus,Org Subs ID,Rank Again After,Substitution Possible Score,Modified On,Cx Modified On
19113689,4,48.44,"8,406",1,1,"Feb 1, 2025, 12:10 AM","5,981,259",false,96.88,false,false,true,,false,false,"25,333,397","1,579.33",49,,"Feb 1, 2025, 2:45 PM",2,"Feb 1, 2025, 3:44 PM","Feb 1, 2025, 1:35 AM"
19113702,4,92.62,"2,987",1.25,1,"Feb 1, 2025, 12:11 AM","9,501,436",true,231.55,false,false,false,,false,false,"25,360,829","2,778",312,,,2,"Feb 18, 2025, 7:21 PM","Feb 18, 2025, 7:13 PM"
19113709,4,65.96,"7,874",1.5,1,"Feb 1, 2025, 12:12 AM","10,650,483",true,98.94,false,true,false,,false,false,"25,360,836","2,748.15",39,,,1,"Feb 3, 2025, 6:28 PM","Feb 3, 2025, 6:28 PM"
19113729,3,66.89,"8,406",1,1,"Feb 1, 2025, 12:13 AM","5,092,136",false,133.78,false,false,true,,false,false,"24,232,704","3,309",312,,,2,"Feb 1, 2025, 12:08 PM","Feb 1, 2025, 12:13 AM"
19113730,5,76.46,"7,874",1,1,"Feb 1, 2025, 12:13 AM","7,607,296",true,76.46,false,false,false,,false,false,"25,360,856","1,416",312,,,1,"Mar 8, 2025, 9:19 PM","Mar 8, 2025, 9:19 PM"
19113731,4,43.6,"2,986",1.5,1,"Feb 1, 2025, 12:13 AM","603,161",true,65.4,false,true,false,,false,false,"25,360,857","1,784",39,,"Feb 1, 2025, 1:48 PM",1,"Feb 2, 2025, 4:24 PM","Feb 2, 2025, 4:24 PM"
19113733,4,93.31,"8,245",1.25,1,"Feb 1, 2025, 12:13 AM","4,672,336",false,233.28,false,false,false,,false,false,"25,124,650","2,877",312,,,2,"Feb 1, 2025, 10:14 AM","Feb 1, 2025, 12:16 AM"
19113750,4,36.29,"7,874",1.25,1,,"9,590,615",false,90.72,false,false,false,,false,false,"25,360,878","1,820.88",312,,,2,"Feb 1, 2025, 2:06 PM","Feb 1, 2025, 1:17 AM"
19113752,4,81.28,"8,245",1.25,1,,"7,042,626",true,203.2,false,false,false,,true,false,"25,360,880","2,511",39,62,,2,"Feb 1, 2025, 11:48 AM","Feb 1, 2025, 11:45 AM"
19113758,4,94.42,"7,818",1,2.5,"Feb 1, 2025, 12:15 AM","10,640,834",true,236.05,false,false,true,,false,false,"25,341,830","2,362.75",39,,,1,"Feb 25, 2025, 9:29 PM","Feb 25, 2025, 9:29 PM"
19113775,5,55.94,"7,819",1,1,"Feb 1, 2025, 12:16 AM","6,079,187",true,55.94,false,false,false,,false,false,"25,360,901",680.95,39,,"Feb 20, 2025, 7:25 PM",1,"Apr 7, 2025, 9:25 AM","Apr 7, 2025, 9:25 AM"
19113776,5,47.52,"7,874",1.25,1,"Feb 1, 2025, 12:16 AM","1,325,293",true,118.8,false,false,false,,false,false,"25,360,902","1,436.16",39,,,2,"Feb 2, 2025, 2:07 AM","Feb 2, 2025, 2:07 AM"
19113786,4,31.42,"8,406",1.25,1,"Feb 1, 2025, 12:17 AM","4,381,083",false,78.55,false,false,false,,true,false,"25,360,912","1,649.11",39,61,,2,"Feb 1, 2025, 6:09 PM","Feb 1, 2025, 12:30 AM"
19113788,2,101.9,"7,818",1.25,1,,"6,751,028",false,254.75,false,false,false,,false,false,"25,360,913","5,988.48",312,,,2,"Feb 1, 2025, 10:55 AM","Feb 1, 2025, 12:17 AM"
19113796,3,88.21,"7,816",1,1,"Feb 1, 2025, 12:18 AM","4,711,492",false,176.42,false,false,true,,false,false,"25,350,250","3,495.65",49,,"Feb 1, 2025, 1:53 PM",2,"Feb 1, 2025, 1:55 PM","Feb 1, 2025, 12:28 AM"
19113815,4,56.54,"8,403",1.25,1,"Feb 1, 2025, 12:19 AM","2,795,753",false,141.35,false,false,false,,true,false,"25,360,936","1,969.58",39,62,,2,"Feb 1, 2025, 11:45 AM","Feb 1, 2025, 12:19 AM"
19113817,5,28.49,"5,178",1,1,"Feb 1, 2025, 12:19 AM","10,129,035",false,56.98,false,false,true,,false,false,"24,444,235",890.25,312,,,2,"Apr 8, 2025, 2:04 AM","Feb 9, 2025, 11:54 AM"
19113820,3,160.53,"7,819",1,1,"Feb 1, 2025, 12:19 AM","9,602,660",true,321.06,false,false,true,,false,false,"25,014,246","4,840.5",39,,"Feb 1, 2025, 11:52 AM",2,"Feb 1, 2025, 12:49 PM","Feb 1, 2025, 12:49 PM"
19113829,4,50.39,"8,779",1,1,"Feb 1, 2025, 12:20 AM","929,996",false,100.78,false,false,true,,false,false,"24,218,610","1,570.92",49,,,2,"Feb 1, 2025, 1:24 PM","Feb 1, 2025, 12:20 AM"
19113834,5,42.74,"7,874",1.25,1,"Feb 1, 2025, 12:20 AM","4,301,945",true,106.85,false,false,false,,false,false,"25,360,954","1,374.7",39,,,2,"Feb 15, 2025, 9:54 PM","Feb 15, 2025, 9:54 PM"
19113845,5,25.56,"8,246",1.25,1,"Feb 1, 2025, 12:21 AM","10,464,321",true,63.9,false,false,false,,false,false,"25,360,965",660,312,,,2,"Feb 1, 2025, 9:17 PM","Feb 1, 2025, 9:17 PM"
19113847,4,61.21,"7,373",1,1,"Feb 1, 2025, 12:21 AM","8,837,604",true,122.42,false,false,true,,false,false,"25,344,430","2,212.3",39,,"Feb 1, 2025, 6:47 PM",2,"Feb 5, 2025, 9:19 PM","Feb 5, 2025, 9:19 PM"
19113848,5,100.72,"5,040",1,1,"Feb 1, 2025, 12:21 AM","5,226,179",true,100.72,true,false,false,,false,false,"25,360,967","1,239.07",49,,"Feb 1, 2025, 11:38 AM",1,"May 20, 2026, 2:32 PM","May 20, 2026, 2:32 PM"
19113857,4,60.64,"2,986",1.25,1,,"273,624",false,151.6,false,false,false,,false,false,"25,360,977","1,886",312,,"Feb 1, 2025, 12:27 PM",2,"Feb 1, 2025, 12:27 PM","Feb 1, 2025, 12:23 AM"
19113859,3,113.25,"8,490",1.25,1,,"769,231",false,283.12,false,false,false,,false,false,"25,360,979","3,963.25",312,,,2,"Feb 1, 2025, 9:58 AM","Feb 1, 2025, 12:22 AM"
19113896,3,98.57,"5,175",1.25,1,"Feb 1, 2025, 12:25 AM","613,828",true,246.42,false,false,false,,false,false,"25,361,015","3,039.43",312,,"Feb 1, 2025, 1:19 PM",2,"Feb 8, 2025, 12:05 PM","Feb 8, 2025, 12:04 PM"
19113897,3,101.88,"2,986",1,1,"Feb 1, 2025, 12:25 AM","9,430,421",true,203.76,false,false,true,,false,false,"24,781,467","3,881.22",39,,,2,"Feb 2, 2025, 6:04 PM","Feb 2, 2025, 6:04 PM"
19113909,4,14.93,"2,880",1,1,"Feb 1, 2025, 12:26 AM","10,644,432",true,14.93,false,true,false,,false,false,"25,361,027","1,959.2",39,,"Feb 23, 2025, 6:50 PM",1,"Mar 23, 2025, 12:10 PM","Mar 23, 2025, 12:10 PM"
19113910,1,"1,809","9,467",1,1,"Feb 1, 2025, 12:26 AM","10,650,585",false,"1,809",false,true,false,,false,false,"25,361,028","10,850",312,,"Mar 28, 2025, 5:39 PM",1,"Apr 14, 2025, 6:45 AM","Apr 13, 2025, 5:43 PM"
19113914,3,108.68,"8,402",1.25,1,"Feb 1, 2025, 12:26 AM","1,080,650",false,271.7,false,false,false,,true,false,"25,361,033","4,090.1",39,61,"Feb 1, 2025, 11:03 AM",2,"Feb 1, 2025, 11:08 AM","Feb 1, 2025, 12:27 AM"
19113922,2,205.53,"8,680",1.25,1,"Feb 1, 2025, 12:26 AM","839,452",false,513.83,false,false,false,,false,false,"25,153,693","5,656.72",312,,"Feb 1, 2025, 10:33 AM",2,"Feb 1, 2025, 10:34 AM","Feb 1, 2025, 12:30 AM"
19113924,2,102,"7,816",1.5,1,"Feb 1, 2025, 12:27 AM","10,650,307",true,153,false,true,false,,false,false,"25,361,041","7,079.34",312,,"Feb 1, 2025, 6:59 PM",1,"Feb 3, 2025, 12:28 PM","Feb 2, 2025, 11:01 PM"
19113935,5,119.73,"6,550",1,1,,"9,547,668",false,119.73,false,false,false,,false,false,"25,361,051",182.35,49,,"Feb 1, 2025, 2:01 PM",1,"Dec 20, 2025, 9:37 PM","Dec 20, 2025, 7:28 PM"
19113938,4,50.2,"8,399",1.25,1,"Feb 1, 2025, 12:27 AM","278,992",false,125.5,false,false,false,,false,false,"25,234,241","1,804.84",312,,,2,"Feb 1, 2025, 12:26 PM","Feb 1, 2025, 12:27 AM"
19113942,4,51.97,"6,791",1,1,"Feb 1, 2025, 12:28 AM","315,546",false,103.94,false,false,true,,false,false,"25,224,720","2,829",312,,,2,"Feb 1, 2025, 1:12 PM","Feb 1, 2025, 12:28 AM"
19113945,3,139.31,"7,818",1.25,1,,"9,568,359",true,348.27,false,false,false,,false,false,"25,361,060","4,245",39,,,2,"Feb 4, 2025, 5:37 PM","Feb 4, 2025, 5:37 PM"
19113956,5,38.64,"8,852",1,1,"Feb 1, 2025, 12:28 AM","2,624,725",false,77.28,false,false,true,,true,false,"24,260,851","1,207.4",39,211,,2,"Feb 1, 2025, 6:37 PM","Feb 1, 2025, 12:30 AM"
19113980,4,85.07,"8,253",1.25,1,"Feb 1, 2025, 12:30 AM","4,812,323",false,212.67,false,false,false,,false,false,"25,322,357","1,874.4",312,,,2,"Feb 1, 2025, 10:24 AM","Feb 1, 2025, 2:12 AM"
19113985,4,49.98,"8,781",1.25,1,"Feb 1, 2025, 12:30 AM","9,909,045",false,124.95,false,false,false,,false,false,"25,361,097","1,561.84",49,,,2,"Feb 6, 2025, 11:48 AM","Feb 6, 2025, 6:04 AM"
19113987,4,94.25,"5,179",1.25,1,,"8,379,301",false,117.81,false,false,false,,true,false,"25,361,099","2,313.13",39,61,,1,"Feb 21, 2025, 1:50 PM","Feb 21, 2025, 1:11 PM"
19113996,4,71.48,"8,581",1.25,1,,"4,550,528",false,178.7,false,false,false,,true,false,"25,361,107","2,317.67",39,62,,2,"Feb 1, 2025, 10:50 AM","Feb 1, 2025, 12:36 AM"
19113998,4,107.67,"8,683",1,1,"Feb 1, 2025, 12:31 AM","2,434,498",true,107.67,false,false,true,,false,false,"25,349,546","2,126.44",39,,,1,"Feb 28, 2025, 4:38 PM","Feb 28, 2025, 4:38 PM"
19114001,5,54.19,"8,245",1.25,1,"Feb 1, 2025, 12:32 AM","4,333,816",false,135.47,false,false,false,,false,false,"25,361,112","1,496",312,,"Feb 1, 2025, 2:22 PM",2,"Feb 1, 2025, 2:23 PM","Feb 1, 2025, 12:34 AM"
19114008,5,46.99,"8,405",1.25,1,"Feb 1, 2025, 12:32 AM","1,699,412",true,117.48,false,false,false,,true,false,"25,361,119","1,391.07",39,62,,2,"Feb 1, 2025, 4:40 PM","Feb 1, 2025, 4:40 PM"
19114015,4,48.32,"2,878",1.25,1,"Feb 1, 2025, 12:33 AM","5,167,310",false,120.8,false,false,false,,false,false,"23,226,814","2,411.94",49,,,2,"Feb 1, 2025, 12:32 PM","Feb 1, 2025, 12:33 AM"
19114016,4,53.82,"6,134",1.25,1,"Feb 1, 2025, 12:33 AM","2,964,029",false,134.55,false,false,false,,false,false,"24,862,935","1,670",312,,"Feb 1, 2025, 1:06 PM",2,"Feb 3, 2025, 3:04 PM","Feb 1, 2025, 12:57 AM"
19114040,4,51.85,"8,406",1.25,1,"Feb 1, 2025, 12:34 AM","6,724,388",false,129.62,false,false,false,,false,false,"25,361,147","1,800.24",312,,"Feb 1, 2025, 3:21 PM",2,"Feb 26, 2025, 3:38 PM","Feb 1, 2025, 12:35 AM"
19114046,2,186.75,"7,819",1.25,1,"Feb 1, 2025, 12:35 AM","10,277,274",false,466.88,false,false,false,,false,false,"25,361,152","5,342.88",312,,,2,"Feb 1, 2025, 9:38 AM","Feb 1, 2025, 12:35 AM"
19114050,4,62.72,"7,736",1.5,1,"Feb 1, 2025, 12:35 AM","10,635,775",false,94.08,false,true,false,,false,false,"25,361,157","2,422.85",49,,"Feb 1, 2025, 5:54 PM",1,"Feb 17, 2025, 7:08 PM","Feb 17, 2025, 6:37 PM"
19114062,3,106.43,"7,817",1,1,"Feb 1, 2025, 12:36 AM","4,712,667",false,212.86,false,false,true,,false,false,"25,180,925","4,625",312,,,2,"Feb 1, 2025, 10:25 AM","Feb 1, 2025, 12:36 AM"
19114064,1,400.21,"8,490",1.25,1,"Feb 1, 2025, 12:36 AM","7,578,485",false,"1,000.52",false,false,false,,false,false,"23,782,053","10,419.83",312,,,2,"Feb 1, 2025, 9:16 AM","Feb 1, 2025, 1:43 AM"
19114083,4,31.23,"2,986",1.25,1,,"4,359,240",true,78.08,false,false,false,,false,false,"25,361,188","1,610.08",312,,,2,"Feb 7, 2025, 6:19 PM","Feb 7, 2025, 6:19 PM"
19114091,4,45.96,"7,874",1.25,1,"Feb 1, 2025, 12:38 AM","196,514",false,114.9,false,false,false,,false,false,"25,361,196",606,312,,,2,"Feb 1, 2025, 12:42 PM","Feb 1, 2025, 12:38 AM"
19114109,2,182.49,"7,817",1,1,"Feb 1, 2025, 12:39 AM","10,127,150",false,182.49,false,true,true,,false,false,"24,185,858","5,524.52",312,,,1,"Feb 1, 2025, 10:44 AM","Feb 1, 2025, 12:41 AM"
19114150,2,285.75,"8,581",1.5,1,"Feb 1, 2025, 12:42 AM","10,650,732",false,428.62,false,true,false,,false,false,"25,361,252","7,828.09",49,,"Feb 1, 2025, 1:43 PM",1,"Feb 1, 2025, 1:43 PM","Feb 1, 2025, 12:51 AM"
19114152,4,13.47,"11,509",1,1,"Feb 1, 2025, 12:42 AM","10,650,733",false,13.47,true,true,false,,false,false,"25,361,254","2,796.2",49,,,1,"Feb 18, 2026, 6:34 PM","Feb 18, 2026, 7:32 AM"
19114177,5,31.67,"7,904",1.25,1,"Feb 1, 2025, 12:45 AM","4,986,823",true,79.18,false,false,false,,false,false,"25,361,277",989.6,312,,,2,"Feb 3, 2025, 9:32 AM","Feb 3, 2025, 9:27 AM"
19114185,4,55.88,"7,373",1.25,1,"Feb 1, 2025, 12:45 AM","341,901",false,139.7,false,false,false,,false,false,"25,040,739","2,731.76",312,,,2,"Feb 1, 2025, 11:48 AM","Feb 1, 2025, 12:45 AM"
19114186,5,31.87,"8,389",1.25,1,"Feb 1, 2025, 12:45 AM","5,342,268",true,79.67,false,false,false,,false,false,"25,361,284",960,312,,,2,"Feb 8, 2025, 11:00 AM","Feb 8, 2025, 11:00 AM"
19114188,5,10.49,"8,491",1,1,"Feb 1, 2025, 12:45 AM","10,650,762",false,10.49,false,true,false,,false,false,"25,361,286","1,357.09",49,,"Jun 14, 2025, 6:52 PM",1,"Aug 27, 2025, 7:47 PM","Jun 14, 2025, 1:09 PM"
19114191,4,70.27,"8,313",1,1,"Feb 1, 2025, 12:46 AM","10,306,071",false,140.54,false,false,true,,false,false,"25,206,331","2,196",312,,,2,"Feb 1, 2025, 11:45 AM","Feb 1, 2025, 12:47 AM"
19114200,3,113.36,"6,550",1,1,"Feb 1, 2025, 12:46 AM","10,426,914",false,226.72,false,false,true,,false,false,"25,019,073","1,524",312,,,2,"Feb 1, 2025, 10:15 AM","Feb 1, 2025, 12:46 AM"
19114214,4,14.52,"8,683",1,1,"Feb 1, 2025, 12:47 AM","10,650,761",false,14.52,true,true,false,,false,false,"25,361,311","1,810.1",49,,"Aug 22, 2025, 5:51 PM",1,"Aug 29, 2025, 5:51 PM","Aug 21, 2025, 9:08 PM"
19114219,5,76.18,"7,819",1,1,"Feb 1, 2025, 12:47 AM","7,941,697",true,76.18,false,false,false,,false,false,"22,523,430",963.98,39,,"Feb 20, 2025, 7:22 PM",1,"May 19, 2025, 2:12 AM","May 19, 2025, 2:12 AM"
19114240,5,30.28,"8,864",1.25,1,"Feb 1, 2025, 12:49 AM","6,952,921",true,75.7,false,false,false,,true,false,"25,361,337","1,203.4",39,61,,2,"Feb 1, 2025, 7:41 PM","Feb 1, 2025, 7:40 PM"
19114258,4,125.49,"7,817",1,1,,"10,257,502",false,125.49,true,false,false,,false,false,"25,361,354","1,512.34",49,,"Mar 25, 2025, 7:50 PM",1,"Sep 28, 2025, 2:04 PM","Sep 28, 2025, 3:29 AM"
19114260,3,145.85,"8,242",1.25,1,"Feb 1, 2025, 12:51 AM","363,633",true,364.62,false,false,false,,false,false,"25,361,356","4,251.75",312,,,2,"Feb 1, 2025, 6:47 PM","Feb 1, 2025, 6:47 PM"
19114266,4,47.8,"10,460",1.25,1,,"4,357,525",false,119.5,false,false,false,,false,false,"25,361,362","2,078.5",49,,"Feb 1, 2025, 1:35 PM",2,"Mar 3, 2026, 1:02 PM","Feb 1, 2025, 12:52 AM"
19114267,5,39.2,"2,986",1.25,1,"Feb 1, 2025, 12:52 AM","1,856,831",false,98,false,false,false,,false,false,"25,361,363","1,225",312,,,2,"Feb 1, 2025, 1:34 PM","Feb 1, 2025, 12:52 AM"
19114273,5,80.39,"2,878",1,1,,"3,162,231",true,80.39,false,false,false,,false,false,"25,361,369","1,001.69",39,,,1,"Apr 8, 2025, 8:47 PM","Apr 8, 2025, 8:47 PM"
19114277,4,61.53,"7,874",1.25,1,"Feb 1, 2025, 12:53 AM","2,729,827",true,153.82,false,false,false,,false,false,"25,361,374","2,703",312,,"Feb 1, 2025, 12:09 PM",2,"Feb 2, 2025, 5:23 PM","Feb 2, 2025, 5:16 PM"
19114278,4,87.63,"7,818",1.25,1,"Feb 1, 2025, 12:53 AM","8,551,396",true,219.07,false,false,false,,false,false,"25,361,375","2,738.37",39,,,2,"Feb 2, 2025, 3:27 PM","Feb 2, 2025, 3:27 PM"
19114294,4,54.66,"8,864",1.25,1,"Feb 1, 2025, 12:54 AM","8,240,773",false,136.65,false,false,false,,true,false,"25,361,389","2,039.24",39,61,,2,"Feb 5, 2025, 11:37 AM","Feb 5, 2025, 12:08 AM"
19114316,5,28.43,"5,036",1.25,1,"Feb 1, 2025, 12:56 AM","10,537,253",true,71.08,false,false,false,,false,false,"25,361,413","1,157.35",39,,"Feb 1, 2025, 6:58 PM",2,"Feb 6, 2025, 2:00 AM","Feb 6, 2025, 2:00 AM"
19114325,5,46.62,"8,851",1,1,"Feb 1, 2025, 12:56 AM","3,749,428",false,93.24,false,false,true,,false,false,"25,212,135",600,312,,,2,"Feb 1, 2025, 1:56 PM","Feb 1, 2025, 12:56 AM"
19114335,3,756.75,"5,175",1,1,,"20,321",true,756.75,false,false,false,,false,false,"25,361,429","3,494.2",39,,"Feb 1, 2025, 11:45 AM",1,"Apr 11, 2025, 1:06 AM","Apr 11, 2025, 1:06 AM"
19114337,4,63.16,"8,246",1.25,1,"Feb 1, 2025, 12:57 AM","9,883,320",false,157.9,false,false,false,,false,false,"25,361,431","1,649.7",49,,"Feb 1, 2025, 2:03 PM",2,"Feb 1, 2025, 9:27 PM","Feb 1, 2025, 12:58 AM"
19114345,3,86.45,"8,490",1.25,1,"Feb 1, 2025, 12:58 AM","5,791,285",false,216.12,false,false,false,,false,false,"23,641,368","3,015.16",49,,,2,"Feb 1, 2025, 10:21 AM","Feb 1, 2025, 7:25 AM"
19114361,3,89.78,"8,779",1.25,1,"Feb 1, 2025, 12:59 AM","4,977,102",false,224.45,false,false,false,,false,false,"25,354,880","3,134.28",49,,"Feb 1, 2025, 12:42 PM",2,"Feb 4, 2025, 3:46 PM","Feb 1, 2025, 12:59 AM"
19114364,1,976.39,"7,818",1.25,1,,"9,561,952",true,"2,440.97",false,false,false,,false,false,"25,361,454","22,742.36",39,,,2,"Feb 1, 2025, 3:18 PM","Feb 1, 2025, 3:18 PM"
19114377,5,31.39,"7,877",1.25,1,"Feb 1, 2025, 1:00 AM","5,880,246",false,78.47,false,false,false,,false,false,"25,281,521",981.12,312,,,2,"Feb 1, 2025, 6:08 PM","Feb 1, 2025, 3:22 PM"
19114386,5,30.72,"8,246",1.25,1,"Feb 1, 2025, 1:01 AM","7,861,219",false,76.8,false,false,false,,true,false,"25,361,474","1,574",39,61,,2,"Feb 1, 2025, 7:26 PM","Feb 1, 2025, 1:01 AM"
